task_id,global_instance_id,source_manifest,split,experiments_containing_this_instance,training_eligible
gwas_causal_gene_opentargets/573,372,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/574,355,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/612,368,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/690,356,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/721,363,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/745,359,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_pharmaprojects/53,238,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/207,242,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/509,230,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/821,224,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_pharmaprojects/1158,216,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_pharmaprojects/1250,232,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_pharmaprojects/1300,218,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1435,209,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1463,225,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1549,229,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1572,236,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1588,195,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1612,233,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1640,241,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_pharmaprojects/1645,203,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/37,19,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/48,11,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/50,6,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_variant_prioritization/63,3,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/87,30,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/102,42,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/106,38,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/107,5,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/121,33,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_variant_prioritization/130,25,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_variant_prioritization/174,7,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/178,1,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/203,21,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/207,16,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_variant_prioritization/211,8,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/80,309,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/88,326,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/91,317,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/105,301,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_dbqa/241,323,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/269,292,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/273,328,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_dbqa/315,325,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/345,321,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/350,291,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/401,297,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_dbqa/419,308,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/430,312,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/460,305,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_dbqa/493,315,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/14,135,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/27,117,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_seqqa/40,137,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/128,131,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/171,104,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_seqqa/378,123,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
lab_bench_seqqa/379,139,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/391,126,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/406,109,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/430,96,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/448,99,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/492,138,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/498,127,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/520,133,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
lab_bench_seqqa/533,95,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/34,170,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/49,166,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
patient_gene_detection/88,183,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
patient_gene_detection/134,189,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/205,169,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/251,146,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/259,159,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/264,179,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/306,190,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/319,192,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/339,175,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
patient_gene_detection/401,156,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/419,167,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/441,164,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
patient_gene_detection/482,165,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/1,257,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/14,270,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/20,267,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/32,250,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/37,255,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/48,244,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/52,258,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/57,248,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/63,253,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/71,268,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/74,264,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/75,249,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/87,263,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/88,245,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/90,243,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/92,271,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/102,272,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/107,246,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/116,262,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/121,265,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/130,259,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/132,254,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/136,256,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/140,251,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
rare_disease_diagnosis/145,266,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/13,70,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/34,64,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/48,87,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/91,66,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/160,92,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
screen_gene_retrieval/166,73,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/169,85,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/189,82,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
screen_gene_retrieval/251,48,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/252,89,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/259,57,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/317,47,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/318,50,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
screen_gene_retrieval/339,49,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
screen_gene_retrieval/346,83,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/230,381,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b_smoke,excluded (not training pool)
lab_bench_dbqa/303,290,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b_smoke,excluded (not training pool)
lab_bench_seqqa/256,93,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b_smoke,excluded (not training pool)
patient_gene_detection/212,143,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b_smoke,excluded (not training pool)
rare_disease_diagnosis/106,269,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase1;phase2b_smoke,excluded (not training pool)
screen_gene_retrieval/302,43,manifests/phase2b_smoke.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b_smoke,excluded (not training pool)
patient_gene_detection/161,153,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
crispr_delivery/20,277,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
rare_disease_diagnosis/103,260,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
crispr_delivery/28,281,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
rare_disease_diagnosis/21,247,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
rare_disease_diagnosis/99,261,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
crispr_delivery/14,280,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
patient_gene_detection/80,168,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
patient_gene_detection/1,163,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
crispr_delivery/22,274,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
rare_disease_diagnosis/59,252,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
patient_gene_detection/488,147,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
screen_gene_retrieval/306,76,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
lab_bench_dbqa/511,288,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
lab_bench_dbqa/212,284,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
lab_bench_dbqa/190,298,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
lab_bench_dbqa/309,299,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
screen_gene_retrieval/53,59,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_causal_gene_opentargets/817,380,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_variant_prioritization/71,37,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_variant_prioritization/197,2,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_causal_gene_opentargets/556,338,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_variant_prioritization/1,22,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1,excluded (not training pool)
gwas_causal_gene_opentargets/217,364,manifests/ablation.jsonl,other (diagnostic / capability-gate / smoke) - excluded,ablation (abl_arm1/2/3);phase1;smoke,excluded (not training pool)
gwas_causal_gene_gwas_catalog/128,424,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_gwas_catalog/138,421,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_gwas_catalog/541,385,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_opentargets/460,357,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_opentargets/546,369,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_opentargets/745,359,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_pharmaprojects/821,224,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_pharmaprojects/1158,216,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_causal_gene_pharmaprojects/1250,232,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_variant_prioritization/50,6,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_variant_prioritization/121,33,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
gwas_variant_prioritization/130,25,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_dbqa/105,301,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_dbqa/273,328,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_dbqa/401,297,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_seqqa/27,117,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_seqqa/171,104,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
lab_bench_seqqa/378,123,manifests/scope_gate.jsonl,other (diagnostic / capability-gate / smoke) - excluded,phase2b;scope_gate (scope_gate_b1),excluded (not training pool)
