pool,task_name,task_instance_id,own_answer_share,n_competing_candidates_discussed,hedging_near_answer,closing_concentration,label,ikey
phase2b,gwas_causal_gene_pharmaprojects,1463,0.7536231884057971,1.0,9.0,0.4230769230769231,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1463)"
phase2b,gwas_causal_gene_pharmaprojects,1463,0.92,1.0,4.0,0.32608695652173914,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1463)"
phase2b,gwas_causal_gene_pharmaprojects,1640,0.6376811594202898,1.0,6.0,0.36363636363636365,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1640)"
phase2b,gwas_causal_gene_pharmaprojects,1640,0.5483870967741935,1.0,5.0,0.4411764705882353,1,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1640)"
phase2b,gwas_causal_gene_pharmaprojects,1640,0.7014925373134329,1.0,7.0,0.3404255319148936,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1640)"
phase2b,gwas_causal_gene_pharmaprojects,1640,0.7857142857142857,1.0,4.0,0.21818181818181817,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1640)"
phase2b,gwas_causal_gene_pharmaprojects,1645,0.6875,2.0,6.0,0.34545454545454546,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1645)"
phase2b,gwas_causal_gene_pharmaprojects,1645,0.6582278481012658,2.0,8.0,0.5384615384615384,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1645)"
phase2b,gwas_causal_gene_pharmaprojects,1645,0.6909090909090909,2.0,6.0,0.4473684210526316,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1645)"
phase2b,gwas_variant_prioritization,37,0.9285714285714286,1.0,0.0,0.38461538461538464,1,"('phase2b', 'gwas_variant_prioritization', 37)"
phase2b,gwas_variant_prioritization,37,0.8235294117647058,1.0,0.0,0.5,1,"('phase2b', 'gwas_variant_prioritization', 37)"
phase2b,gwas_variant_prioritization,37,0.6,1.0,6.0,0.4444444444444444,0,"('phase2b', 'gwas_variant_prioritization', 37)"
phase2b,gwas_variant_prioritization,87,0.5094339622641509,1.0,4.0,0.3333333333333333,0,"('phase2b', 'gwas_variant_prioritization', 87)"
phase2b,gwas_variant_prioritization,87,0.6216216216216216,1.0,2.0,0.5217391304347826,0,"('phase2b', 'gwas_variant_prioritization', 87)"
phase2b,gwas_variant_prioritization,87,0.65,1.0,2.0,0.5769230769230769,0,"('phase2b', 'gwas_variant_prioritization', 87)"
phase2b,gwas_variant_prioritization,102,0.5,1.0,3.0,0.6153846153846154,0,"('phase2b', 'gwas_variant_prioritization', 102)"
phase2b,gwas_variant_prioritization,102,0.6363636363636364,1.0,0.0,0.42857142857142855,0,"('phase2b', 'gwas_variant_prioritization', 102)"
phase2b,gwas_variant_prioritization,102,0.7333333333333333,1.0,2.0,0.38636363636363635,0,"('phase2b', 'gwas_variant_prioritization', 102)"
phase2b,gwas_variant_prioritization,121,0.8208955223880597,1.0,0.0,0.2,1,"('phase2b', 'gwas_variant_prioritization', 121)"
phase2b,gwas_variant_prioritization,121,0.6842105263157895,1.0,1.0,0.46153846153846156,1,"('phase2b', 'gwas_variant_prioritization', 121)"
phase2b,gwas_variant_prioritization,121,0.5,1.0,0.0,0.38095238095238093,0,"('phase2b', 'gwas_variant_prioritization', 121)"
phase2b,gwas_variant_prioritization,121,0.6666666666666666,1.0,0.0,0.3888888888888889,1,"('phase2b', 'gwas_variant_prioritization', 121)"
phase2b,gwas_variant_prioritization,130,0.58,1.0,2.0,0.3448275862068966,0,"('phase2b', 'gwas_variant_prioritization', 130)"
phase2b,gwas_variant_prioritization,130,0.7272727272727273,1.0,0.0,0.375,0,"('phase2b', 'gwas_variant_prioritization', 130)"
phase2b,lab_bench_dbqa,80,0.08823529411764706,1.0,0.0,0.6666666666666666,1,"('phase2b', 'lab_bench_dbqa', 80)"
phase2b,lab_bench_dbqa,80,1.0,0.0,0.0,0.3333333333333333,0,"('phase2b', 'lab_bench_dbqa', 80)"
phase2b,lab_bench_dbqa,80,0.9354838709677419,1.0,1.0,0.3448275862068966,0,"('phase2b', 'lab_bench_dbqa', 80)"
phase2b,lab_bench_dbqa,80,0.1282051282051282,1.0,1.0,0.3,1,"('phase2b', 'lab_bench_dbqa', 80)"
phase2b,lab_bench_dbqa,269,0.10526315789473684,1.0,1.0,1.0,1,"('phase2b', 'lab_bench_dbqa', 269)"
phase2b,lab_bench_dbqa,269,1.0,0.0,23.0,0.24561403508771928,0,"('phase2b', 'lab_bench_dbqa', 269)"
phase2b,lab_bench_dbqa,269,0.08695652173913043,1.0,1.0,1.0,1,"('phase2b', 'lab_bench_dbqa', 269)"
phase2b,lab_bench_dbqa,269,0.9,1.0,3.0,0.37037037037037035,0,"('phase2b', 'lab_bench_dbqa', 269)"
phase2b,lab_bench_dbqa,315,1.0,0.0,18.0,0.125,1,"('phase2b', 'lab_bench_dbqa', 315)"
phase2b,lab_bench_dbqa,315,1.0,0.0,28.0,0.28125,1,"('phase2b', 'lab_bench_dbqa', 315)"
phase2b,lab_bench_dbqa,315,0.07692307692307693,1.0,39.0,1.0,0,"('phase2b', 'lab_bench_dbqa', 315)"
phase2b,lab_bench_dbqa,315,0.95,1.0,7.0,0.42105263157894735,1,"('phase2b', 'lab_bench_dbqa', 315)"
phase2b,lab_bench_dbqa,345,1.0,0.0,44.0,1.0,0,"('phase2b', 'lab_bench_dbqa', 345)"
phase2b,lab_bench_dbqa,345,0.4444444444444444,1.0,30.0,0.75,1,"('phase2b', 'lab_bench_dbqa', 345)"
phase2b,lab_bench_dbqa,345,0.8421052631578947,1.0,10.0,0.1875,1,"('phase2b', 'lab_bench_dbqa', 345)"
phase2b,lab_bench_dbqa,345,1.0,0.0,13.0,0.4,1,"('phase2b', 'lab_bench_dbqa', 345)"
phase2b,lab_bench_dbqa,350,0.975609756097561,1.0,45.0,0.325,0,"('phase2b', 'lab_bench_dbqa', 350)"
phase2b,lab_bench_dbqa,350,0.21428571428571427,1.0,15.0,0.6666666666666666,1,"('phase2b', 'lab_bench_dbqa', 350)"
phase2b,lab_bench_dbqa,350,1.0,0.0,16.0,0.391304347826087,0,"('phase2b', 'lab_bench_dbqa', 350)"
phase2b,lab_bench_dbqa,350,0.2857142857142857,1.0,30.0,1.0,1,"('phase2b', 'lab_bench_dbqa', 350)"
phase2b,lab_bench_dbqa,430,0.3333333333333333,1.0,7.0,0.38,1,"('phase2b', 'lab_bench_dbqa', 430)"
phase2b,lab_bench_dbqa,430,0.7291666666666666,1.0,9.0,0.24761904761904763,0,"('phase2b', 'lab_bench_dbqa', 430)"
phase2b,lab_bench_dbqa,430,1.0,0.0,9.0,0.2857142857142857,0,"('phase2b', 'lab_bench_dbqa', 430)"
phase2b,lab_bench_seqqa,27,0.23170731707317074,2.0,14.0,0.47368421052631576,0,"('phase2b', 'lab_bench_seqqa', 27)"
phase2b,lab_bench_seqqa,27,0.24691358024691357,2.0,11.0,0.4,0,"('phase2b', 'lab_bench_seqqa', 27)"
phase2b,lab_bench_seqqa,27,0.6082474226804123,2.0,15.0,0.1864406779661017,1,"('phase2b', 'lab_bench_seqqa', 27)"
phase2b,lab_bench_seqqa,27,0.23076923076923078,2.0,6.0,0.4444444444444444,0,"('phase2b', 'lab_bench_seqqa', 27)"
phase2b,patient_gene_detection,34,,0.0,0.0,,0,"('phase2b', 'patient_gene_detection', 34)"
phase2b,patient_gene_detection,34,,0.0,5.0,,1,"('phase2b', 'patient_gene_detection', 34)"
phase2b,patient_gene_detection,34,,0.0,2.0,,1,"('phase2b', 'patient_gene_detection', 34)"
phase2b,patient_gene_detection,34,,0.0,2.0,,0,"('phase2b', 'patient_gene_detection', 34)"
phase2b,patient_gene_detection,49,,0.0,2.0,,1,"('phase2b', 'patient_gene_detection', 49)"
phase2b,patient_gene_detection,49,,0.0,5.0,,0,"('phase2b', 'patient_gene_detection', 49)"
phase2b,patient_gene_detection,49,,0.0,6.0,,1,"('phase2b', 'patient_gene_detection', 49)"
phase2b,patient_gene_detection,49,,0.0,3.0,,1,"('phase2b', 'patient_gene_detection', 49)"
phase2b,patient_gene_detection,88,,0.0,4.0,,0,"('phase2b', 'patient_gene_detection', 88)"
phase2b,patient_gene_detection,88,,0.0,9.0,,0,"('phase2b', 'patient_gene_detection', 88)"
phase2b,patient_gene_detection,88,,0.0,5.0,,0,"('phase2b', 'patient_gene_detection', 88)"
phase2b,patient_gene_detection,88,,0.0,4.0,,0,"('phase2b', 'patient_gene_detection', 88)"
phase2b,patient_gene_detection,205,,0.0,5.0,,1,"('phase2b', 'patient_gene_detection', 205)"
phase2b,patient_gene_detection,205,,0.0,5.0,,1,"('phase2b', 'patient_gene_detection', 205)"
phase2b,patient_gene_detection,205,,0.0,6.0,,1,"('phase2b', 'patient_gene_detection', 205)"
phase2b,patient_gene_detection,205,,0.0,1.0,,1,"('phase2b', 'patient_gene_detection', 205)"
phase2b,patient_gene_detection,251,,0.0,1.0,,0,"('phase2b', 'patient_gene_detection', 251)"
phase2b,patient_gene_detection,251,,0.0,10.0,,0,"('phase2b', 'patient_gene_detection', 251)"
phase2b,patient_gene_detection,251,,0.0,6.0,,1,"('phase2b', 'patient_gene_detection', 251)"
phase2b,patient_gene_detection,251,,0.0,4.0,,1,"('phase2b', 'patient_gene_detection', 251)"
phase2b,patient_gene_detection,259,,0.0,4.0,,0,"('phase2b', 'patient_gene_detection', 259)"
phase2b,patient_gene_detection,259,,0.0,3.0,,0,"('phase2b', 'patient_gene_detection', 259)"
phase2b,patient_gene_detection,259,,0.0,8.0,,0,"('phase2b', 'patient_gene_detection', 259)"
phase2b,patient_gene_detection,259,,0.0,3.0,,0,"('phase2b', 'patient_gene_detection', 259)"
phase2b,patient_gene_detection,264,,0.0,5.0,,1,"('phase2b', 'patient_gene_detection', 264)"
phase2b,patient_gene_detection,264,,0.0,4.0,,1,"('phase2b', 'patient_gene_detection', 264)"
phase2b,patient_gene_detection,264,,0.0,1.0,,1,"('phase2b', 'patient_gene_detection', 264)"
phase2b,patient_gene_detection,306,,0.0,2.0,,0,"('phase2b', 'patient_gene_detection', 306)"
phase2b,patient_gene_detection,306,,0.0,6.0,,0,"('phase2b', 'patient_gene_detection', 306)"
phase2b,patient_gene_detection,319,,0.0,6.0,,1,"('phase2b', 'patient_gene_detection', 319)"
phase2b,patient_gene_detection,319,,0.0,3.0,,1,"('phase2b', 'patient_gene_detection', 319)"
phase2b,patient_gene_detection,319,,0.0,7.0,,0,"('phase2b', 'patient_gene_detection', 319)"
phase2b,patient_gene_detection,319,,0.0,3.0,,0,"('phase2b', 'patient_gene_detection', 319)"
phase2b,patient_gene_detection,339,,0.0,7.0,,0,"('phase2b', 'patient_gene_detection', 339)"
phase2b,patient_gene_detection,339,,0.0,13.0,,1,"('phase2b', 'patient_gene_detection', 339)"
phase2b,patient_gene_detection,339,,0.0,1.0,,1,"('phase2b', 'patient_gene_detection', 339)"
phase2b,patient_gene_detection,401,,0.0,2.0,,1,"('phase2b', 'patient_gene_detection', 401)"
phase2b,patient_gene_detection,401,,0.0,6.0,,0,"('phase2b', 'patient_gene_detection', 401)"
phase2b,patient_gene_detection,401,,0.0,3.0,,0,"('phase2b', 'patient_gene_detection', 401)"
phase2b,patient_gene_detection,401,,0.0,2.0,,1,"('phase2b', 'patient_gene_detection', 401)"
phase2b,patient_gene_detection,419,,0.0,2.0,,0,"('phase2b', 'patient_gene_detection', 419)"
phase2b,patient_gene_detection,419,,0.0,7.0,,1,"('phase2b', 'patient_gene_detection', 419)"
phase2b,patient_gene_detection,482,,0.0,2.0,,0,"('phase2b', 'patient_gene_detection', 482)"
phase2b,patient_gene_detection,482,,0.0,2.0,,0,"('phase2b', 'patient_gene_detection', 482)"
phase2b,patient_gene_detection,482,,0.0,2.0,,1,"('phase2b', 'patient_gene_detection', 482)"
phase2b,rare_disease_diagnosis,1,,0.0,0.0,,1,"('phase2b', 'rare_disease_diagnosis', 1)"
phase2b,rare_disease_diagnosis,1,,0.0,1.0,,0,"('phase2b', 'rare_disease_diagnosis', 1)"
phase2b,rare_disease_diagnosis,1,,0.0,1.0,,1,"('phase2b', 'rare_disease_diagnosis', 1)"
phase2b,rare_disease_diagnosis,1,,0.0,5.0,,1,"('phase2b', 'rare_disease_diagnosis', 1)"
phase2b,rare_disease_diagnosis,20,,0.0,2.0,,0,"('phase2b', 'rare_disease_diagnosis', 20)"
phase2b,rare_disease_diagnosis,20,,0.0,1.0,,0,"('phase2b', 'rare_disease_diagnosis', 20)"
phase2b,rare_disease_diagnosis,20,,0.0,2.0,,1,"('phase2b', 'rare_disease_diagnosis', 20)"
phase2b,rare_disease_diagnosis,88,,0.0,3.0,,0,"('phase2b', 'rare_disease_diagnosis', 88)"
phase2b,rare_disease_diagnosis,88,,0.0,3.0,,0,"('phase2b', 'rare_disease_diagnosis', 88)"
phase2b,rare_disease_diagnosis,90,,0.0,6.0,,0,"('phase2b', 'rare_disease_diagnosis', 90)"
phase2b,rare_disease_diagnosis,90,,0.0,6.0,,0,"('phase2b', 'rare_disease_diagnosis', 90)"
phase2b,rare_disease_diagnosis,92,,0.0,2.0,,0,"('phase2b', 'rare_disease_diagnosis', 92)"
phase2b,rare_disease_diagnosis,92,,0.0,4.0,,0,"('phase2b', 'rare_disease_diagnosis', 92)"
phase2b,rare_disease_diagnosis,102,,0.0,6.0,,0,"('phase2b', 'rare_disease_diagnosis', 102)"
phase2b,rare_disease_diagnosis,102,,0.0,0.0,,1,"('phase2b', 'rare_disease_diagnosis', 102)"
phase2b,rare_disease_diagnosis,102,,0.0,2.0,,0,"('phase2b', 'rare_disease_diagnosis', 102)"
phase2b,rare_disease_diagnosis,140,,0.0,1.0,,0,"('phase2b', 'rare_disease_diagnosis', 140)"
phase2b,rare_disease_diagnosis,140,,0.0,4.0,,0,"('phase2b', 'rare_disease_diagnosis', 140)"
phase2b,rare_disease_diagnosis,140,,0.0,1.0,,0,"('phase2b', 'rare_disease_diagnosis', 140)"
phase2b,screen_gene_retrieval,166,0.7,1.0,0.0,0.42857142857142855,0,"('phase2b', 'screen_gene_retrieval', 166)"
phase2b,screen_gene_retrieval,166,0.7,1.0,4.0,0.2857142857142857,1,"('phase2b', 'screen_gene_retrieval', 166)"
phase2b,screen_gene_retrieval,317,0.6116504854368932,2.0,1.0,0.4444444444444444,0,"('phase2b', 'screen_gene_retrieval', 317)"
phase2b,screen_gene_retrieval,317,0.5789473684210527,2.0,3.0,0.5454545454545454,1,"('phase2b', 'screen_gene_retrieval', 317)"
phase2b,screen_gene_retrieval,317,0.423728813559322,2.0,0.0,0.4,0,"('phase2b', 'screen_gene_retrieval', 317)"
phase2b,screen_gene_retrieval,317,0.6346153846153846,2.0,5.0,0.3939393939393939,1,"('phase2b', 'screen_gene_retrieval', 317)"
phase2b,screen_gene_retrieval,318,0.7962962962962963,1.0,2.0,0.3953488372093023,0,"('phase2b', 'screen_gene_retrieval', 318)"
phase2b,screen_gene_retrieval,318,0.7066666666666667,1.0,6.0,0.37735849056603776,0,"('phase2b', 'screen_gene_retrieval', 318)"
phase2b,screen_gene_retrieval,318,0.76,1.0,3.0,0.4473684210526316,0,"('phase2b', 'screen_gene_retrieval', 318)"
phase2b,screen_gene_retrieval,346,0.8448275862068966,1.0,8.0,0.24489795918367346,1,"('phase2b', 'screen_gene_retrieval', 346)"
phase2b,screen_gene_retrieval,346,0.5957446808510638,1.0,3.0,0.5357142857142857,0,"('phase2b', 'screen_gene_retrieval', 346)"
phase2b,screen_gene_retrieval,346,0.6129032258064516,1.0,0.0,0.47368421052631576,0,"('phase2b', 'screen_gene_retrieval', 346)"
phase1_pooled,crispr_delivery,28,0.25,1.0,0.0,0.25,1,"('phase1_pooled', 'crispr_delivery', 28)"
phase1_pooled,crispr_delivery,28,0.5,1.0,0.0,0.23076923076923078,1,"('phase1_pooled', 'crispr_delivery', 28)"
phase1_pooled,crispr_delivery,28,0.9230769230769231,1.0,0.0,0.08333333333333333,0,"('phase1_pooled', 'crispr_delivery', 28)"
phase1_pooled,crispr_delivery,28,0.6,1.0,0.0,0.3333333333333333,0,"('phase1_pooled', 'crispr_delivery', 28)"
phase1_pooled,gwas_causal_gene_gwas_catalog,27,0.40860215053763443,2.0,7.0,0.39473684210526316,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 27)"
phase1_pooled,gwas_causal_gene_gwas_catalog,27,0.5217391304347826,2.0,4.0,0.20833333333333334,1,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 27)"
phase1_pooled,gwas_causal_gene_gwas_catalog,27,0.3974358974358974,2.0,5.0,0.1935483870967742,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 27)"
phase1_pooled,gwas_causal_gene_gwas_catalog,27,0.4895833333333333,2.0,3.0,0.2553191489361702,1,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 27)"
phase1_pooled,gwas_causal_gene_gwas_catalog,406,0.5384615384615384,2.0,3.0,0.32142857142857145,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 406)"
phase1_pooled,gwas_causal_gene_gwas_catalog,406,0.358695652173913,2.0,6.0,0.36363636363636365,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 406)"
phase1_pooled,gwas_causal_gene_gwas_catalog,406,0.75,2.0,4.0,0.3541666666666667,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 406)"
phase1_pooled,gwas_causal_gene_gwas_catalog,406,0.6216216216216216,2.0,7.0,0.34782608695652173,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 406)"
phase1_pooled,gwas_causal_gene_gwas_catalog,520,0.875,1.0,5.0,0.32653061224489793,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 520)"
phase1_pooled,gwas_causal_gene_gwas_catalog,520,0.918918918918919,1.0,4.0,0.14705882352941177,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 520)"
phase1_pooled,gwas_causal_gene_gwas_catalog,520,0.8611111111111112,1.0,5.0,0.2903225806451613,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 520)"
phase1_pooled,gwas_causal_gene_gwas_catalog,520,0.8837209302325582,1.0,3.0,0.21052631578947367,0,"('phase1_pooled', 'gwas_causal_gene_gwas_catalog', 520)"
phase1_pooled,gwas_causal_gene_pharmaprojects,956,0.7238095238095238,1.0,7.0,0.3684210526315789,0,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 956)"
phase1_pooled,gwas_causal_gene_pharmaprojects,956,0.6222222222222222,1.0,6.0,0.35714285714285715,0,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 956)"
phase1_pooled,gwas_causal_gene_pharmaprojects,956,0.6481481481481481,1.0,2.0,0.5142857142857142,0,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 956)"
phase1_pooled,gwas_causal_gene_pharmaprojects,956,0.6181818181818182,1.0,4.0,0.38235294117647056,0,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 956)"
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,0.5517241379310345,1.0,4.0,0.3958333333333333,0,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 1475)"
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,0.8461538461538461,1.0,4.0,0.23636363636363636,1,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 1475)"
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,0.8382352941176471,1.0,4.0,0.3157894736842105,1,"('phase1_pooled', 'gwas_causal_gene_pharmaprojects', 1475)"
