pool,task_name,task_instance_id,k,n_usable,distinct_usable,evidence_state,no_correct_trajectory,any_correct_usable,oracle_reward,plurality_reward,headroom,mode_a_eligible,unreachable
phase2b,rare_disease_diagnosis,92,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,rare_disease_diagnosis,102,4,3,3,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,rare_disease_diagnosis,140,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,screen_gene_retrieval,166,4,2,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,screen_gene_retrieval,317,4,4,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,screen_gene_retrieval,318,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,screen_gene_retrieval,346,4,3,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase1_pooled,crispr_delivery,28,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,gwas_causal_gene_gwas_catalog,27,4,4,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,gwas_causal_gene_gwas_catalog,406,4,4,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,gwas_causal_gene_gwas_catalog,520,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,gwas_causal_gene_pharmaprojects,956,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,gwas_causal_gene_pharmaprojects,1554,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,gwas_variant_prioritization,1,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,lab_bench_dbqa,190,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,lab_bench_dbqa,309,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,lab_bench_seqqa,230,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,True,True
phase1_pooled,lab_bench_seqqa,292,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,True,False
phase1_pooled,lab_bench_seqqa,547,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,True,False
phase1_pooled,patient_gene_detection,1,4,4,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,patient_gene_detection,80,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,patient_gene_detection,161,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,patient_gene_detection,350,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,patient_gene_detection,488,4,4,3,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase1_pooled,rare_disease_diagnosis,21,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,rare_disease_diagnosis,59,4,3,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,rare_disease_diagnosis,103,4,2,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,rare_disease_diagnosis,106,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,screen_gene_retrieval,1,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase1_pooled,screen_gene_retrieval,243,4,3,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase1_pooled,screen_gene_retrieval,306,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
